31.952625,118.768019
31.952194,118.76804
31.95179,118.768165
31.951366,118.768379
31.95098,118.768563
31.950572,118.768748
31.950176,118.768926
31.949687,118.769101
31.949249,118.769249
31.94884,118.769388
31.948456,118.769516
31.947973,118.76968
31.947453,118.769855
31.947068,118.769986
31.94668,118.770118
31.946189,118.770287
31.945803,118.770418
31.94535,118.770572
31.944893,118.770722
31.944488,118.770855
31.944052,118.770999
31.943667,118.771125
31.943279,118.771253
31.942875,118.771386
31.942474,118.771519
31.942045,118.771662
31.941611,118.771807
31.94109,118.771981
31.940704,118.77211
31.940258,118.772258
31.939869,118.772388
31.939444,118.77253
31.939013,118.772674
31.938631,118.772802
31.938203,118.77295
31.937807,118.773087
31.937403,118.773228
31.937022,118.77336
31.936609,118.773502
31.936205,118.773643
31.935704,118.773816
31.935323,118.773948
31.934922,118.774106
31.934485,118.774288
31.934103,118.774447
31.933726,118.774605
31.933253,118.774808
31.932873,118.774986
31.932401,118.775206
31.931921,118.77543
31.931522,118.775617
31.931015,118.775846
31.930457,118.776083
31.930082,118.776242
31.929678,118.776413
31.929296,118.776575
31.928817,118.776783
31.928373,118.776978
31.927959,118.777162
31.927585,118.777327
31.927133,118.777528
31.926702,118.77772
31.926327,118.777886
31.925929,118.778061
31.925512,118.778244
31.925098,118.778425
31.924722,118.778591
31.924234,118.778804
31.923789,118.77899
31.923293,118.779183
31.922852,118.779348
31.922396,118.779458
31.921953,118.779474
31.921368,118.779489
31.920947,118.779499
31.920522,118.779516
31.920098,118.779539
31.919697,118.779562
31.919294,118.779579
31.918849,118.779577
31.918443,118.779574
31.917938,118.779572
31.9173,118.779568
31.916875,118.779566
31.916425,118.779564
31.91594,118.779584
31.915415,118.779604
31.91501,118.77962
31.914541,118.779638
31.914073,118.779657
31.913651,118.779672
31.913133,118.779684
31.912663,118.779693
31.91216,118.779704
31.91143,118.779687
31.910921,118.779675
31.91051,118.779665
31.910038,118.779654
31.909634,118.779644
31.909233,118.779634
